Date,Temp
12/4/2007,37.71428571
12/4/2007,37.85714286
12/4/2007,37.57142857
12/4/2007,37.28571429
12/4/2007,36
12/4/2007,36
12/4/2007,34.85714286
12/4/2007,35.28571429
12/4/2007,37.28571429
12/4/2007,40.85714286
12/4/2007,44
12/4/2007,46.14285714
12/4/2007,47.71428571
12/4/2007,48.57142857
12/4/2007,49.42857143
12/4/2007,49
12/4/2007,46.42857143
12/4/2007,43.42857143
12/4/2007,41.71428571
12/4/2007,41.14285714
12/4/2007,40
12/4/2007,39.71428571
12/4/2007,38.28571429
12/4/2007,37.42857143
12/5/2007,35.85714286
12/5/2007,36
12/5/2007,36.85714286
12/5/2007,36.71428571
12/5/2007,37.28571429
12/5/2007,37.42857143
12/5/2007,38
12/5/2007,38.28571429
12/5/2007,39.85714286
12/5/2007,42.42857143
12/5/2007,44.85714286
12/5/2007,47.42857143
12/5/2007,50.28571429
12/5/2007,53.14285714
12/5/2007,54.28571429
12/5/2007,55
12/5/2007,53.71428571
12/5/2007,51.14285714
12/5/2007,50
12/5/2007,49.57142857
12/5/2007,49.42857143
12/5/2007,47.14285714
12/5/2007,44.71428571
12/5/2007,43
12/6/2007,40.57142857
12/6/2007,38
12/6/2007,35.57142857
12/6/2007,33.42857143
12/6/2007,32
12/6/2007,30.71428571
12/6/2007,29
12/6/2007,29.85714286
12/6/2007,33
12/6/2007,35.28571429
12/6/2007,37.42857143
12/6/2007,38.57142857
12/6/2007,40.28571429
12/6/2007,41.71428571
12/6/2007,41.85714286
12/6/2007,41.57142857
12/6/2007,39.85714286
12/6/2007,37.14285714
12/6/2007,35
12/6/2007,33
12/6/2007,31.71428571
12/6/2007,30.42857143
12/6/2007,30
12/6/2007,28.85714286
12/7/2007,28.28571429
12/7/2007,29.71428571
12/7/2007,30.42857143
12/7/2007,31.85714286
12/7/2007,32.28571429
12/7/2007,32.42857143
12/7/2007,32.85714286
12/7/2007,33.14285714
12/7/2007,35.28571429
12/7/2007,38.28571429
12/7/2007,41.28571429
12/7/2007,44
12/7/2007,46.14285714
12/7/2007,47.28571429
12/7/2007,48
12/7/2007,48.42857143
12/7/2007,47.28571429
12/7/2007,45
12/7/2007,43.28571429
12/7/2007,42.14285714
12/7/2007,42.28571429
12/7/2007,41.71428571
12/7/2007,41.14285714
12/7/2007,40.85714286
12/8/2007,40
12/8/2007,39.85714286
12/8/2007,39.28571429
12/8/2007,40.42857143
12/8/2007,39.42857143
12/8/2007,39.71428571
12/8/2007,39.42857143
12/8/2007,39.85714286
12/8/2007,45.42857143
12/8/2007,52.28571429
12/8/2007,58.42857143
12/8/2007,63.57142857
12/8/2007,67.57142857
12/8/2007,69.28571429
12/8/2007,69.57142857
12/8/2007,69.28571429
12/8/2007,67
12/8/2007,63.57142857
12/8/2007,62.42857143
12/8/2007,61
12/8/2007,59
12/8/2007,57.42857143
12/8/2007,56.71428571
12/8/2007,55
12/9/2007,54.14285714
12/9/2007,53.57142857
12/9/2007,53.42857143
12/9/2007,52.14285714
12/9/2007,50.85714286
12/9/2007,50
12/9/2007,48.57142857
12/9/2007,49.14285714
12/9/2007,52.71428571
12/9/2007,57.28571429
12/9/2007,61.28571429
12/9/2007,65.42857143
12/9/2007,68
12/9/2007,70
12/9/2007,70.71428571
12/9/2007,70.28571429
12/9/2007,69
12/9/2007,64.14285714
12/9/2007,62.85714286
12/9/2007,60.57142857
